"ID","SENTENCE","ARG1","REL","ARG2","CONTEXT","A"
"1","O show ainda conta com as participações especiais dos cantores Zeca Pagodinho (apenas no DVD) e Dominguinhos.","O show ","conta com ","as participações especiais dos  cantores ","","1"
"2","Esse asteróide foi descoberto em 24 de Maio de 1931 por Cyril Jackson.","Esse asteróide ","foi descoberto em ","24 de Maio de 1931 por Cyril_Jackson ","","1"
"3","A Bélgica participou no Festival Eurovisão da Canção em 1983.","A Bélgica ","participou no   ","Festival_Eurovisão da  Canção em 1983 ","","1"
"4","O Association Sportive d'Origine Arménienne de Valence foi um clube de futebol francês.","O Association_Sportive "," d'Origine  Arménienne_de_Valence  foi  um  clube  de","futebol francês ","","0"
"",""," Arménienne_de_Valence foi um clube de futebol francês "," d'Origine","O Association_Sportive ","","0"
"5","Em tempos pré-históricos as cavernas protegiam os nossos antepassados das intempérides e dos animais selvagens.","as cavernas ","protegiam os nossos antepassados das   ","intempérides ","Em tempos pré - históricos ","1"
"6","Hirsch (asteróide 14214) é um asteróide da cintura principal , a 2,0188447 UA.","Hirsch ","é um asteróide da   ","cintura principal ","","1"
"",""," um asteróide da  cintura principal "," é","Hirsch ","","1"
"7","O Webster's Dictionary também define um enfant terrible como uma pessoa que geralmente tem sucesso e que é fortemente não ortodoxo, inovador ou de vanguarda.","O Webster's_Dictionary ","define ","um enfant ","","1"
"","","um enfant ","terrible como ","uma pessoa "," que geralmente tem sucesso e que é fortemente não ortodoxo","0"
"","","que ","é fortemente   não","ortodoxo ","","0"
"8","Luis Alfredo López (29 de agosto de 1986) é um futebolista profissional hondurenho que atua como atacante.","Luis_Alfredo_López ","é ","um futebolista profissional ","","1"
"","","hondurenho ","atua como ","atacante ","","1"
"","","um futebolista profissional ","é ","Luis_Alfredo_López ","","1"
"9","Joanna Dove Hayes (Williamsport, 23 de dezembro de 1976) é um atleta barreirista e campeã olímpica norte-americana.","Joanna_Dove_Hayes ","é um atleta barreirista","campeã olímpica ","","1"
"",""," um atleta barreirista e campeã olímpica "," é","Joanna_Dove_Hayes ","","1"
"10","O álbum segue a mesma linha lançada pelo artista no álbum Retropolis, e seguida em Stardust We Are.","O álbum ","segue ","a mesma linha ","","1"
"","","a mesma linha ","lançada pelo   ","artista no  álbum ","","1"
"11","Vojnik (em alemão: Hoheneck) é um município da Eslovênia.","Vojnik ","é um município da   ","Eslovênia ","","1"
"",""," um município da  Eslovênia "," é","Vojnik ","","1"
"12","São seis formas que Elta pode transformar dependendo da combinação dos orbs.","Elta ","pode transformar dependendo da   ","combinação dos  orbs ","","1"
"13","A autoridade científica da espécie é Fairmaire, tendo sido descrita no ano de 1857.","A autoridade científica da  espécie ","é ","Fairmaire ","","1"
"","","Fairmaire ","tendo sido descrita no   ","ano de 1857 ","","1"
"14","Sua menor audiência foi alcançada em 31 de dezembro de 2004, quando marcou apenas 17 pontos.","Sua menor audiência ","foi alcançada em ","31 de dezembro de 2004 "," quando marcou apenas 17 pontos","1"
"15","Pierre começou a jogar Futsal em 1985 nas escolinhas do clube Álvares Cabral em Vitória, ES.","Pierre ","começou a jogar Futsal em ","1985 nas  escolinhas do  clube ","","1"
"16","Richarnold (asteróide 20306) é um asteróide da cintura principal, a 2,2952118 UA.","Richarnold ","é um asteróide da   ","cintura principal ","","1"
"",""," um asteróide da  cintura principal "," é","Richarnold ","","1"
"17","O WWE Judgment Day foi um evento Pay-Per-View da WWE.","O WWE_Judgment_Day ","foi um evento Pay-Per-View da   ","WWE ","","1"
"",""," um evento Pay-Per-View da  WWE "," foi","O WWE_Judgment_Day ","","1"
"18","O primeiro serviço do MD-11 nos Estados Unidos ocorreu ainda em 1990 e foi inaugurado pela Delta Airlines.","O primeiro serviço do  MD-11 nos  Estados_Unidos ","ocorreu ainda em ","1990","","1"
"","","O primeiro serviço do  MD-11 nos  Estados_Unidos ","foi inaugurado pela   ","Delta_Airlines ","","1"
"19","Este asteroide foi descoberto no dia 31 de agosto de 2000 por LINEAR em Socorro.","Este asteroide ","foi descoberto no   ","dia 31 de agosto de 2000 por LINEAR em Socorro ","","1"
"20","Havana é uma cidade localizada no estado americano de Illinois, no Condado de Mason.","Havana ","é ","uma cidade ","","1"
"","","uma cidade ","localizada no   ","estado americano de Illinois ","","1"
"","","Havana ","localizada no   ","estado americano de Illinois ","","1"
"","","uma cidade ","é ","Havana ","","1"
"21","A Universidade Flinders (em inglês: Flinders University ou The Flinders University of South Australia) é uma universidade localizada na Austrália Meridional, Austrália.","A Universidade_Flinders ","é ","uma universidade ","","1"
"","","uma universidade ","localizada na   ","Austrália_Meridional "," em inglês : Flinders University ou The_Flinders_University_of_South_Australia","1"
"","","uma universidade ","localizada na   ","Austrália "," em inglês : Flinders University ou The_Flinders_University_of_South_Australia","1"
"","","A Universidade_Flinders ","localizada na   ","Austrália_Meridional ","","1"
"","","A Universidade_Flinders ","localizada na   ","Austrália ","","1"
"","","uma universidade ","é ","A Universidade_Flinders ","","1"
"22","O KS era uma mesa com uma matriz de chaves, que o operador usava para comutar os troncos e ramais.","O KS ","era uma mesa com ","uma matriz de chaves "," que o operador usava para comutar os troncos e ramais","1"
"",""," uma mesa com uma matriz de chaves "," era","O KS ","","1"
"23","Ahillones é um município da Espanha na província de Badajoz, comunidade autónoma da Estremadura, de área 21,5 km².","Ahillones ","é um município da   ","Espanha na  província de Badajoz ","","1"
"",""," um município da  Espanha na  província de Badajoz "," é","Ahillones ","","1"
"24","Salleri é uma cidade do Nepal.","Salleri ","é uma cidade do   ","Nepal ","","1"
"",""," uma cidade do  Nepal "," é","Salleri ","","1"
"25","A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel.","NGC 3158 ","foi descoberta em ","17 de Março de 1787 por William_Herschel ","","1"
"26","No Xuxa Park, \Ilariê\"" voltou a ser executada em 1996 pelo bloco Xuxa Hits.""","Ilariê ","voltou a ser executada em ","1996 pelo  bloco ","","1"
"27","Horntown é uma cidade localizada no estado norte-americano de Oklahoma, no Condado de Hughes.","Horntown ","é ","uma cidade ","","1"
"","","uma cidade ","localizada no   ","estado norte-americano ","","1"
"","","Horntown ","localizada no   ","estado norte-americano ","","1"
"","","uma cidade ","é ","Horntown ","","1"
"28","O Afogadense foi eliminado por não ter pago as taxas de inscrição por completo impostas pela Federação.","O Afogadense ","foi eliminado por ter pago as taxas de ","inscrição por completo impostas pela  Federação ","","1"
"29","O Tenente Niki, da Guarda Real austríaca, está de serviço na Viena do século XIX, numa parada militar que saúda o Rei Adolf e a Princesa Anna, sua filha, do vizinho reino de Flausenshaum.","O Tenente_Niki ","está de ","serviço na  Viena do  século "," em uma parada militar que saúda o Rei_Adolf e a Princesa_Anna","1"
"30","Naganuma (asteróide 15350) é um asteróide da cintura principal, a 1,7205248 UA.","Naganuma ","é um asteróide da   ","cintura principal ","","1"
"",""," um asteróide da  cintura principal "," é","Naganuma ","","1"
"31","Louis François Élisabeth Ramond, barão de Carbonnières (Strasbourg, 4 de janeiro de 1755 – Paris, 14 de maio de 1827) foi um político, geólogo, explorador e botânico francês.","barão de Carbonnières ","foi ","um político ","","1"
"","","barão de Carbonnières ","foi ","um geólogo ","","1"
"","","barão de Carbonnières ","foi ","um explorador ","","1"
"","","um político ","foi ","barão de Carbonnières ","","1"
"","","um geólogo ","foi ","barão de Carbonnières ","","1"
"","","um explorador ","foi ","barão de Carbonnières ","","1"
"32","A Assembleia Legislativa do Estado de Goiás é o órgão de representação do Poder Legislativo através dos deputados estaduais do Estado de Goiás.","A Assembleia_Legislativa do  Estado de Goiás ","é o órgão de ","representação do  Poder_Legislativo ","","1"
"",""," o órgão de representação do  Poder_Legislativo "," é","A Assembleia_Legislativa do  Estado de Goiás ","","1"
"33","Exemplos são o já falecido pregador inglês Smith Wigglesworth que ajudou em muito no avivamento na Nova Zelândia no início do século passado, Paul David Cull, neo-zeolandês líder do ministério Avivamento Já!.","Exemplos ","são ","o já falecido pregador inglês ","","0"
"","","o ","falecido ","pregador inglês ","","0"
"","","Smith_Wigglesworth ","ajudou em ","muito no  avivamento na  Nova_Zelândia no  início do ","","0"
"","","avivamento na  Nova_Zelândia no  início do  século "," passado  neo-zeolandês  líder  do  ","ministério Avivamento_Já ","","0"
"","","o já falecido pregador inglês ","são ","Exemplos ","","0"
"34","Marshall foi expulso das próprias terras pela onda resultante de garimpeiros e nunca obteve lucro com sua descoberta.","Marshall ","foi expulso das   ","próprias terras pela  onda resultante de garimpeiros ","","1"
"","","das  próprias terras pela  onda resultante de garimpeiros e ","obteve lucro com ","sua descoberta ","","0"
"35","Os filhos legítimos de um par vitalício recebem os privilégios dos filhos dos barões hereditários, podendo preceder seus nomes com o título the Honourable.","Os filhos legítimos de um par vitalício ","recebem os privilégios dos   ","filhos dos  barões hereditários ","","1"
"","","os privilégios dos  filhos dos  barões hereditários ","podendo preceder seus nomes com ","o título the ","","0"
"36","Esse asteróide foi descoberto em 17 de Novembro de 1938 por Karl Reinmuth.","Esse asteróide ","foi descoberto em ","17 de Novembro de 1938 por Karl_Reinmuth ","","1"
"37","Homem-Serpente é uma raça humanoide fictícia criado pelo texano Robert E.","Homem-Serpente ","é ","uma raça humanoide fictícia ","","1"
"","","uma raça humanoide fictícia ","criado pelo   ","texano Robert ","","1"
"","","Homem-Serpente ","criado pelo   ","texano Robert ","","1"
"","","uma raça humanoide fictícia ","é ","Homem-Serpente ","","1"
"38","Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido na República Dominicana em 1983 e cresceu no Brooklyn em Nova Iorque, Estados Unidos.","Twin_Shadow ","é o nome artístico de ","músico americano ","","1"
"","","George_Lewis_Jr ","nascido na   ","República_Dominicana em 1983 ","","1"
"","","George_Lewis_Jr ","cresceu no   ","Brooklyn em Nova_Iorque ","","1"
"","","George_Lewis_Jr ","cresceu no   ","Brooklyn em Estados_Unidos ","","1"
"",""," o nome artístico de músico americano "," é","Twin_Shadow ","","0"
"39","A Serra da Argemela é rica em minerais e mesmo antes da chegada dos romanos foi explorada na sua busca.","A Serra_da_Argemela ","é rica em ","minerais ","","1"
"","","chegada dos  romanos ","foi explorada na   ","sua busca ","","0"
"40","Como Galbatorix era muito poderoso ele matou muitos e convenceu 12 Cavaleiros a se aliarem a ele, junto com Morzan eles ficaram conhecidos como Os Renegados.","ele ","matou muitos","convenceu 12 Cavaleiros ","Como Galbatorix era muito poderoso ","0"
"","","ele ","convenceu 12 Cavaleiros a aliarem a ","ele ","Como Galbatorix era muito poderoso ","1"
"","","eles ","ficaram conhecidos como ","Os_Renegados ","Como Galbatorix era muito poderoso ele matou muitos e convenceu 12 Cavaleiros a se aliarem a","1"
"41","Até a edição 22, a história era focada majoritariamente no protagonista Matthew Roth, retratando o primeiro ano dele como fotojornalista na cidade, assim como certos aspectos da zona desmilitarizada, através de quatro arcos e quatro histórias contidas.","a história ","era focada majoritariamente no   ","protagonista Matthew_Roth ","","1"
"","","a edição 22 ","retratando o primeiro ano dele   ","como fotojornalista na ","","0"
"","","certos aspectos da  zona "," desmilitarizada","através ","","0"
"42","Com a tripulação exausta, o capitão-de-mar-e-guerra Christopher Parker, comandante do navio, ordena que este seja encalhado na Calheta para evitar a sua perda e avaliar os estragos.","a tripulação exausta ","ordena que ","seja encalhado na  Calheta "," para evitar a sua perda e avaliar os estragos","0"
"43","Mohanpur Mohammadpur é uma vila no distrito de Hardwar, no estado indiano de Uttaranchal.","Mohammadpur ","é uma vila no   ","distrito de Hardwar ","","1"
"",""," uma vila no  distrito de Hardwar "," é","Mohammadpur ","","1"
"44","Este pertência ao Rei de Soleanna, um homem que almejava o poder para viajar através do tempo.","um homem ","almejava o poder para viajar através do   ","tempo ","","1"
"45","Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes, segundo dados do IBGE.","Sua população ","estimada em ","2004 era de 3 528 habitantes "," segundo dados do  IBGE","1"
"46","Foi desenvolvido como parte do programa Oko de satélites artificiais.",".",".",".",".",""
"47","Após a extinção do BNH, aquelas que eram suas atribuições foram assumidas pela CAIXA - Caixa Econômica Federal.","suas atribuições ","foram assumidas pela   ","CAIXA ","Após a extinção do  BNH","1"
"48","Desde então, os clubes vencedores das taças nacionais passaram a qualificar-se para a Taça UEFA, entretanto rebatizada de Liga Europa.","os clubes vencedores das  taças nacionais ","passaram a qualificar -se para ","a Taça_UEFA ","","1"
"","","os clubes vencedores das  taças nacionais ","rebatizada de ","Liga_Europa ","","0"
"49","Estes espíritos eram mais frequentemente descritos como espectros de animais ou pessoas injustiçadas pelo portador, os ritos de exorcismo geralmente eram compostos de ofertas respeitosas ou ofertas de sacrifício.","Estes espíritos ","eram mais descritos como espectros de ","animais ","","1"
"","","os ritos de exorcismo ","eram compostos de ","ofertas respeitosas ","","1"
"50","Similares espíritos divinos também são encontrados nas tradições da África Central e África Ocidental de onde eles derivam - o Orixá da cultura Yoruba, o nkisi dos tradições Bantu (Congo), e o vodou do Dahomey (Benin), Togo, sul de Ghana, e Burkina Faso.","Similares espíritos divinos ","são encontrados nas   ","tradições da  África_Central ","","1"
"","","eles ","derivam - ","o Orixá da  cultura ","","1"
"51","Este asteróide foi descoberto em 14 de Agosto de 1977 por Nikolai Chernykh.","Este asteróide ","foi descoberto em ","14 de Agosto de 1977 por Nikolai_Chernykh ","","1"
"52","Grande Oriente são federações ou confederações de, no mínimo, três Lojas maçônicas que, inicialmente, não trabalhavam no mesmo rito maçonico, como eram exigidos pelas Grande Lojas.","Oriente ","são federações","confederações ","","0"
"","","confederações "," não trabalhavam no   ","mesmo rito maçonico "," como eram exigidos pelas  Grande_Lojas","0"
"53","Johannes Jacob Hegetschweiler (Rifferswil, 14 de dezembro de 1789 — Zurique, 9 de setembro de 1839) foi um médico, botânico e político suiço.","Johannes_Jacob_Hegetschweiler ","foi ","um médico ","","1"
"","","um médico ","foi ","Johannes_Jacob_Hegetschweiler ","","1"
"54","Sua capital é a cidade de Tarata.","Sua capital ","é a cidade de ","Tarata ","","1"
"",""," a cidade de Tarata "," é","Sua capital ","","1"
"55","Conus tabidus é uma espécie de gastrópode do gênero Conus, pertencente a família Conidae.","Conus ","é uma espécie de ","gastrópode do  gênero ","","1"
"",""," uma espécie de gastrópode do  gênero "," é","Conus ","","1"
"56","Este asteroide foi descoberto no dia 16 de setembro de 1988 por Schelte J.","Este asteroide ","foi descoberto no   ","dia 16 de setembro de 1988 por Schelte ","","1"
"57","Walter Hofmann (Sömmerda, Turíngia, 26 de setembro de 1949) é um canoísta de slalom alemão na modalidade de canoagem.","Walter_Hofmann ","é um canoísta de ","slalom alemão na  modalidade de canoagem ","","1"
"",""," um canoísta de slalom alemão na  modalidade de canoagem "," é","Walter_Hofmann ","","1"
"58","Qualquer célula viva aumenta de tamanho, por absorção e metabolização de nutrientes, desde o momento em que separa da sua célula-irmã até atingir um tamanho a partir do qual a célula, ou se divide para dar origem a duas células-filhas (ver ciclo celular), ou exerce a sua função específica (no caso de ser uma célula diferenciada) até ao momento da sua morte.","Qualquer célula viva ","aumenta de ","tamanho ","","1"
"","","o momento ","separa da   ","sua célula-irmã ","","0"
"","","sua célula-irmã ","atingir um tamanho a_partir_do ","o qual a célula ","","0"
"","","origem a duas células-filhas ","ver ","ciclo celular ","","0"
"","","caso ","ser ","uma célula diferenciada ","","0"
"","","uma célula ","diferenciada ",") até ao  momento da ","","0"
"","","uma célula diferenciada ","ser ","caso ","","0"
"59","Os cientistas não usaram a tecnologia de transferência dos \genes de ouro\"" juntamente com o gene \""repórter ß-Glucuronidase\"" para produzir a planta.""","Os cientistas "," não usaram a tecnologia de ","transferência dos  \ genes de ouro ""","","1"
"","","\ ""","produzir ","a planta ","","0"
"60","Don't Panic debutou na sexta posição da Billboard 200, pela venda de 48 mil cópias em sua primeira semana nos Estados Unidos, e foi bem recebido pelos críticos especializados.","Panic ","debutou na   ","posição da  Billboard_200 ","","1"
"","","Panic ","foi bem recebido pelos   ","críticos especializados ","","1"
"61","O diagrama seguinte representa as localidades num raio de 8 km ao redor de Muniz.","O diagrama ","representa as localidades em ","um raio de 8 km ao  redor de Muniz ","","1"
"62","As construções modernas para a medida de Lebesgue partem do conceito desta medida exterior.","As construções modernas para a medida de Lebesgue ","partem do   ","conceito desta  medida exterior ","","1"
"63","O CSKA venceu 5 Campeonatos Russos, sete Campeonatos Soviéticos, sete Copas da Rússia e cinco Copas da União Soviética.","O CSKA ","venceu ","5 Campeonatos_Russos ","","1"
"64","O Presidente da África do Sul é o chefe de Estado e de governo da nação sul-africana.","O Presidente da  África_do_Sul ","é o chefe de ","Estado ","","1"
"",""," o chefe de Estado "," é","O Presidente da  África_do_Sul ","","1"
"65","Segundo informações oficiais, o objetivo da missão era apenas aproximar-se da Soyuz 2 como um teste, sem acoplamento.","o objetivo da  missão ","era apenas aproximar -se da   ","Soyuz 2 "," como um teste","1"
"66","Ambystoma mavortium é uma espécie de anfíbio caudado pertencente à família Ambystomatidae.","Ambystoma ","é uma espécie de ","anfíbio caudado ","","1"
"","","uma espécie de anfíbio ","caudado pertencente à   ","família Ambystomatidae ","","0"
"",""," uma espécie de anfíbio caudado "," é","Ambystoma ","","1"
"67","A citação pode realmente ser atribuída a Voltaire, que escreveu em 1733: \Eu gostaria de ver ... o último rei estrangulado com as tripas do último padre\"".""","A citação ","pode realmente ser atribuída a ","Voltaire "," que escreveu em 1733 : \ Eu gostaria de ver ... o último rei estrangulado com as tripas do  último padre \""""","1"
"","","o último rei ","estrangulado com ","as tripas do  último padre "," que escreveu em 1733 : \ Eu gostaria de ver ... ""","1"
"68","Passa por muitas praias da Costa da Prata, entre elas: Valadares, Espinho, Esmoriz, Ovar, Mira, Figueira da Foz e Termas de Monte Real.",".",".",".",".",""
"69","Esta é uma lista das emissoras da Rede Família, uma rede de televisão brasileira.",".",".",".",".",""
"70","O 'Revenge Is Sweeter Tour DVD' é um CD e DVD ao vivo, da banda australiana The Veronicas.","O ' Revenge_Is_Sweeter_Tour_DVD' ","é um CD","DVD ao  vivo ","","0"
"",""," um CD e DVD ao  vivo "," é","O ' Revenge_Is_Sweeter_Tour_DVD' ","","1"
"71","Nicéforo significa em grego: \portador da vitória\"", e este justificou o seu nome com uma série de vitórias que permitiram estender a fronteira para leste com a tomada de umas 60 cidades fronteiriças, entre elas Alepo.""","Nicéforo ","significa em ","grego ","","0"
"","","o seu nome com uma série de vitórias ","permitiram estender a fronteira para ","leste com a tomada de umas 60 cidades fronteiriças ","","0"
"72","Mauranthemum é um género botânico pertencente à família Asteraceae.","Mauranthemum ","é um género botânico pertencente à   ","família Asteraceae ","","1"
"",""," um género botânico pertencente à  família Asteraceae "," é","Mauranthemum ","","1"
"73","A Meribérica, que a certa altura teve a designação comercial Meribérica/Líber, é uma editora portuguesa, com sede em Lisboa.","a certa altura ","teve ","a designação comercial ","","0"
"","","A Meribérica ","é ","uma editora portuguesa ","","1"
"","","uma editora portuguesa ","é ","A Meribérica ","","1"
"74","De início recebido com frieza pela família, Marcondes conquista logo a afeição de Pedroca “procurando contentá-lo em todos os desejos, prestando-se às suas pequenas exigências” e, com seu jeito de boêmio, seus ares “dramáticos de d.","início ","recebido com ","frieza pela  família ","","0"
"","","Marcondes ","conquista logo a afeição de ","Pedroca ","","1"
"","","a afeição de Pedroca ","procurando contentá -lo em ","todos os desejos ","","0"
"","","frieza pela  família ","prestando -se às   ","suas pequenas exigências ” ","","0"
"75","Didogobius kochi é uma espécie de peixe da família Gobiidae e da ordem Perciformes.","kochi ","é uma espécie de ","peixe da  família ","","1"
"",""," uma espécie de peixe da  família "," é","kochi ","","1"
"76","Em 2012 a dupla anunciou a volta.","a dupla ","anunciou ","a volta ","Em 2012 ","1"
"77","De acordo com o United States Census Bureau tem uma área de 30,4 km², dos quais 30,4 km² cobertos por terra e 0,0 km² cobertos por água.","o United_States_Census_Bureau ","tem uma área de ","30,4 km² ","","1"
"","","0,0 km² ","cobertos por ","água ","","0"
"78","O califa o perseguiu até Mosul e o cercou ali, mas sem conseguir prendê-lo pelos próximos três meses.","O califa ","perseguiu até ","Mosul "," mas sem conseguir prendê -lo pelos  próximos três meses","1"
"79","Pode ser encontrada nos seguintes países: Hong Kong, Japão, Taiwan e Vietname.",".",".",".",".",""
"80","Estavam equipados com o equipamento em uso no Exército Português, mas também utilizavam muito armamento capturado aos guerrilheiros, nomeadamente nas Operações Pseudo-Terroristas.","armamento ","capturado aos   ","guerrilheiros "," mas também utilizavam muito ","1"
"81","Serie A 2006-07 é a LXXV edição da Seria A do Campeonato Italiano de Futebol.","A 2006-07 ","é a LXXV edição da   ","Seria ","","1"
"",""," a LXXV edição da  Seria "," é","A 2006-07 ","","1"
"82","A Liga Celta de Rugby de 2009-10 foi a IX edição da Celtic League, a liga europea de rugby dos países célticos envolvendo times da Irlanda, Escócia e País de Gales.","A Liga_Celta_de_Rugby de 2009-10 ","foi a ","IX edição ","","1"
"","","a liga europea de rugby dos  países célticos ","envolvendo times da   ","Irlanda ","","1"
"","","a liga europea de rugby dos  países célticos ","envolvendo times da   ","Escócia ","","1"
"","","a liga europea de rugby dos  países célticos ","envolvendo times da   ","País ","","1"
"",""," a IX edição "," foi","A Liga_Celta_de_Rugby de 2009-10 ","","1"
"83","Kappiyarai é uma panchayat (vila) no distrito de Kanniyakumari, no estado indiano de Tamil Nadu.","Kappiyarai ","é ","uma panchayat no  distrito de Kanniyakumari ","","1"
"","","uma panchayat no  distrito de Kanniyakumari ","é ","Kappiyarai ","","1"
"84","O Lago de Lecco, é na realidade o braço Sudeste do Lago de Como que banha a comuna italiana de Lecco na província de Lecco, e na região da Lombardia,","O Lago de Lecco ","é na   ","realidade ","","0"
"","","Sudeste_do_Lago_de_Como ","banha a comuna italiana de ","Lecco na  província de Lecco ","","1"
"85","É neste braço que se encontra a cidade de Lecco, e no cruzamento deste braço com o braço de Sudoeste, a parte Sudoeste do lago de Como, que se encontra Bellagio.","braço ","encontra a cidade de ","Lecco ","","0"
"86","Esta técnica não seria aplicável a grandes dicionários por ser muito lenta - complexidade O(nc*np){\displaystyle O(nc*np)}, onde nc é o número de palavras chaves e np é o número de palavras.","Esta técnica "," não seria aplicável a grandes dicionários por ser muito lenta - ","complexidade O( nc*np ","","0"
"","","np ","é o número de ","palavras ","","0"
"",""," o número de palavras "," é","np ","","0"
"","","Esta técnica ","serou aplicável a grandes dicionários por ser muito lenta -","complexidade O( nc*np ","","0"
"87","Este asteroide foi descoberto no dia 30 de novembro de 1999 por LINEAR em Socorro.","Este asteroide ","foi descoberto no   ","dia 30 de novembro de 1999 por LINEAR em Socorro ","","1"
"88","Este asteróide foi descoberto em 27 de Agosto de 1979 por Nikolai Chernykh.","Este asteróide ","foi descoberto em ","27 de Agosto de 1979 por Nikolai_Chernykh ","","1"
"89","Rock In Rio - Cássia Eller é um álbum ao vivo da cantora Cássia Eller, lançado em 2006.","Cássia_Eller ","é um álbum ao   ","vivo da  cantora ","","1"
"","","Cássia_Eller ","lançado em ","2006","","1"
"",""," um álbum ao  vivo da  cantora "," é","Cássia_Eller ","","1"
"90","Semidecídua, heliófita, aparece em dispersão irregular e descontínua: por exemplo, no Parque Estadual Vassununga aparece na forma de um grupo.","Semidecídua ","aparece em ","dispersão irregular ","","1"
"","","heliófita ","aparece em ","dispersão irregular ","","1"
"","","Parque_Estadual_Vassununga ","aparece na   ","forma de um grupo ","","1"
"91","Formado em engenharia aeroespacial, Onizuka serviu como engenheiro de vôo na Força Aérea trabalhando com diversos tipos de aviões militares.","Onizuka ","serviu como engenheiro de ","vôo na  Força_Aérea ","","1"
"","","engenheiro de vôo na  Força_Aérea ","trabalhando com ","diversos tipos de aviões militares ","","1"
"92","Localiza-se no departamento de Santa Rosa, Município de Chiquimulilla.",".",".",".",".",""
"93","Contém uma capela em honra de São Silvestre, padroeiro da aldeia, e uma capelinha referente a São Macário, que se situa no cimo de um monte como que \vigiando\"" a nossa terra.""","de um monte como que \ ""","vigiando ","\ a """," que se situa no  cimo ","1"
"94","A Soyuz 40 foi a última missão com a nave do tipo Soyuz e a última nave espacial a aclopar na na Salyut 6.","40","foi a última missão com ","a nave do  tipo ","","0"
"","","a última nave espacial ","aclopar na   ","na  Salyut ","","1"
"",""," a última missão com a nave do  tipo "," foi","40","","0"
"95","O Conselho Presidencial (em francês: Conseil Présidentiel) foi um sistema de governo triunvirato da República do Daomé (atual Benim) que existiu entre 7 de maio de 1970 e 26 de outubro de 1972.","O Conselho_Presidencial ","foi um sistema de ","governo triunvirato ","","1"
"",""," um sistema de governo triunvirato "," foi","O Conselho_Presidencial ","","1"
"96","O realismo do show acabou por se tornar uma barreira para a audiência, segundo o instituto Nielsen Media Research, a série tinha índices baixíssimos de audiência e foi cancelada com menos de 4 meses no ar.","O realismo do  show ","acabou por tornar uma barreira para ","a audiência "," segundo o instituto Nielsen_Media_Research","1"
"","","a série ","tinha índices baixíssimos de ","audiência "," segundo o instituto Nielsen_Media_Research","1"
"","","a série ","foi cancelada com ","menos de 4 meses no  ar ","","1"
"97","O beato Padre Eustáquio é muito famoso por todo o Brasil, sendo considerado responsável por vários milagres ocorridos por todo o país.","Padre_Eustáquio ","é muito famoso por ","todo o Brasil ","","1"
"","","muito famoso por todo o Brasil ","sendo considerado responsável por ","vários milagres ","","0"
"","","responsável por vários milagres ","ocorridos por ","todo o país "," sendo considerado ","0"
"98","Este asteroide foi descoberto no dia 7 de fevereiro de 1997 por Klet em Klet.","Este asteroide ","foi descoberto no   ","dia 7 de fevereiro de 1997 por Klet em Klet "," em Klet","0"
"99","Segundo alguns registros o casal praticava o enigmático ritual que se chamava: energia criativa sexual, largamente difundido na parte oriental da China , tendo influencia profunda do taoismo de Lao Tzé , tornando se o casal mais poderoso da época.","o enigmático ritual ","chamava ",": energia criativa ","Segundo alguns registros o casal praticava ","1"
"","","energia criativa ","tendo influencia profunda do   ","taoismo de Lao_Tzé ","Segundo alguns registros o casal praticava o enigmático ritual que se chamava : ","1"
"","","energia criativa ","tendo influencia profunda do   ","taoismo de Lao_Tzé "," sexual","0"
"","","energia criativa ","tornando se o casal mais poderoso da   ","época ","Segundo alguns registros o casal praticava o enigmático ritual que se chamava : ","0"
